File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-16-99671_div.txt, recall rate: 0.80, precision rate: 0.88 , F-measure: 0.84 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-16-99703_div.txt, recall rate: 0.77, precision rate: 0.84 , F-measure: 0.80 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-16-99733_div.txt, recall rate: 0.72, precision rate: 0.83 , F-measure: 0.77 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-17-99746_div.txt, recall rate: 0.59, precision rate: 0.73 , F-measure: 0.65 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-17-99749_div.txt, recall rate: 0.69, precision rate: 0.80 , F-measure: 0.74 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-17-99751_div.txt, recall rate: 0.71, precision rate: 0.83 , F-measure: 0.76 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-17-99755_div.txt, recall rate: 0.78, precision rate: 0.88 , F-measure: 0.83 
There is some problem with the file: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-17-99756_div.txt
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-17-99760_div.txt, recall rate: 0.73, precision rate: 0.84 , F-measure: 0.79 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-17-99768_div.txt, recall rate: 0.64, precision rate: 0.79 , F-measure: 0.70 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-17-99780_div.txt, recall rate: 0.73, precision rate: 0.84 , F-measure: 0.78 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-17-99793_div.txt, recall rate: 0.70, precision rate: 0.83 , F-measure: 0.76 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-17-99794_div.txt, recall rate: 0.74, precision rate: 0.85 , F-measure: 0.79 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-17-99796_div.txt, recall rate: 0.69, precision rate: 0.82 , F-measure: 0.75 
File: E:\任子恒\大学\北邮\04_课件及作业\专业课\必修\03_大二\数字内容安全\实验\实验四\文本分词\result\train\2003-4-17-99803_div.txt, recall rate: 0.75, precision rate: 0.85 , F-measure: 0.80 
